name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2003-12-22,9'4 ºC,2'6 ºC,5'6 ºC,6.7,-1.0,3.0,-2.4,59.6,0.0 l/m2,0,0.0,,,35.0,,27.2 m/s,10.7,1027.1,27.7,10.7,,,,,2003-12-22T08:34:45,2003-12-22T17:51:37,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
madrid,1987-11-04,14'8 ºC,12'7 ºC,13'9 ºC,14.8,12.7,13.9,10.5,79.7,2.229 l/m2,100,8.33,rain,,,,23.6 m/s,35.8,1018.0,76.2,10.5,,,,,1987-11-04T07:47:17,1987-11-04T18:08:51,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,2018-10-26,16'1 ºC,8'7 ºC,13'8 ºC,16.1,8.7,13.8,8.1,69.3,1.631 l/m2,100,29.17,rain,,,15.2,6.5 m/s,16.4,1014.1,93.8,17.0,53.9,4.7,3.0,,2018-10-26T08:37:27,2018-10-26T19:19:23,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,1997-12-29,8'3 ºC,5'4 ºC,7'1 ºC,8.2,5.4,6.8,6.2,94.7,0.026 l/m2,100,4.17,rain,,5.0,,6.4 m/s,22.7,1013.6,97.2,4.0,,,,,1997-12-29T08:37:29,1997-12-29T17:56:21,0.0,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,08272099999,08213099999,08219099999,08223099999,08215099999"
madrid,1999-02-01,8'8 ºC,-7'9 ºC,0'4 ºC,6.9,-10.8,-1.2,-11.4,43.7,0.0 l/m2,0,0.0,,,68.0,,14.4 m/s,353.4,1029.4,11.5,11.1,,,,,1999-02-01T08:24:43,1999-02-01T18:32:23,0.53,Clear,Clear conditions throughout the day.,clear-day,"08227099999,08221099999,08224099999,08213099999,08219099999,08223099999,08215099999"
madrid,1980-02-27,5'8 ºC,3'0 ºC,4'5 ºC,3.4,-1.0,0.8,2.3,86.3,2.009 l/m2,100,4.17,rain,,,,32.2 m/s,43.1,1023.5,85.5,9.8,,,,,1980-02-27T07:52:54,1980-02-27T19:03:01,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,2001-05-24,26'2 ºC,12'1 ºC,19'7 ºC,26.2,12.1,19.7,8.9,53.1,0.0 l/m2,0,0.0,,,,,13.0 m/s,347.6,1021.5,39.0,13.1,,,,,2001-05-24T06:51:13,2001-05-24T21:32:26,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08227099999,08221099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
madrid,2008-06-15,26'4 ºC,14'3 ºC,21'3 ºC,26.4,14.3,21.3,7.3,42.6,0.0 l/m2,0,0.0,,,,,20.3 m/s,267.9,1013.3,69.0,20.0,,,,,2008-06-15T06:44:00,2008-06-15T21:46:45,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08272099999,08213099999,08219099999,08223099999,08215099999"
madrid,2006-12-02,11'8 ºC,7'2 ºC,9'1 ºC,11.8,6.4,9.0,7.3,88.7,0.606 l/m2,100,8.33,rain,,,,12.0 m/s,130.2,1020.9,86.1,7.8,,,,,2006-12-02T08:19:25,2006-12-02T17:48:38,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
madrid,1982-07-02,35'2 ºC,19'3 ºC,26'0 ºC,33.3,19.3,25.5,13.5,52.0,0.241 l/m2,100,8.33,rain,,,,33.6 m/s,241.5,1009.9,59.1,11.3,,,,,1982-07-02T06:48:30,1982-07-02T21:48:39,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
